Investigador,Nombre del proyecto,Tipo,Inicio,Año de inicio,Duración,Fin,Año de finalización,Resumen,Palabras,Área,Sectores
Blanca Myriam SALGUERO LONDOÑO,"Aplicación de un método agroecológico para la evaluación de sostenibilidad de sistemas productivos de café en el municipio del Líbano, Tolima.",Tipo de proyecto: Investigación y desarrollo,Febrero 2014,2014,,Noviembre 2015,2015," La investigación tuvo como objetivo evaluar cuatro sistemas productivos (SP) de café, evaluando el estado de la calidad del recurso suelo entre el periodo húmedo y seco, para ello se empleó la metodología propuesta ¿Un Método Agroecológico Rápido para la Evaluación de la Sostenibilidad de Cafetales (Altieri y Nicholls 2002)¿, aplicando los 10 indicadores de calidad en el recurso edáfico.",,,
Blanca Myriam SALGUERO LONDOÑO,Evaluación de la descomposición de la hojarasca y ciclaje de nutrientes en tres fragmentos de bosque seco tropical del departamento del Tolima.,Tipo de proyecto: Investigación y desarrollo,Enero 2016,2016,,Enero 2017,2017," El trabajo se realizó en tres fragmentos de bosque seco tropical ubicados en el departamento del Tolima en los municipios de Venadillo, Armero-Guayabal y Ambalema.  Se determinó durante la temporada seca y de lluvia, la caída de hojarasca y la tasa de descomposición, permitiendo evidenciar los impactos generados en este importante ecosistema por la expansión de la frontera agrícola y pecuaria.",,,
Blanca Myriam SALGUERO LONDOÑO,"Relación de algunas propiedades biológicas y químicas con la productividad en sistemas cafeteros de Líbano, Tolima",Tipo de proyecto: Investigación y desarrollo,Enero 2016,2016,,Enero 2017,2017," Mediante este proyecto se evaluaron algunas propiedades biológicas (respiración basal y carbono de la biomasa microbiana) y propiedades químicas (pH, MO, CIC) y su relación en sistemas productivos de café con manejo convencional y con buenas prácticas agrícolas, se muestreo un bosque secundario presente en la zona y se comparó su comportamiento de acuerdo a la productividad en cada unidad muestreada.",,,
Maximiliano Machado Higuera,Modelamiento de sistemas dinámicos aplicados a la producción de biogás.,Tipo de proyecto: Investigación y desarrollo,Agosto 2009,2009, 12,Diciembre 2010,2010, En este proyecto se busca describir de forma matemática y química el proceso de digestión anaeróbica del rumen de ganado para la producción de biogás. El conocimiento de este fenómeno biológico y complejo nos permitirá describir su comportamiento mediante un modelo no lineal que nos permitirá simular el proceso biológico y adelantar nuevos proyectos de investigación tomando como herramienta el modelo desarrollado y el conocimiento que se adquiere al estudiarlo. La digestión anaeróbica es un proceso biológico que nos permite descomponer la materia orgánica que origina contaminación ambiental de los recursos hídricos y permite obtener como producto biogás con alto contenido de Metano que puede ser utilizado como fuente energética debido a su alto poder calorífico. Se tiene de esta forma la oportunidad de tener una fuente de energía renovable amigable con el medio ambiente que propende por la sostenibilidad ambiental de nuestra región y del planeta.,,,
Maximiliano Machado Higuera,"Modelización, Simulación, Control Y Optimización de la Producción de metano e hidrogeno por vía digestión anaerobia de residuos orgánicos, urbanos y agrícolas",Tipo de proyecto: Investigación y desarrollo,Marzo 2012,2012, 18,Diciembre 2013,2013," En el siguiente proyecto de investigación se realizara la: Modelización, simulación, control y optimización de la producción de metano (CH4) e hidrogeno (H2 ) por vía biológica de digestión anaerobia de residuos orgánicos, urbanos y agrícolas. aprovechando esta fuente de energía renovable.  Se analizarán las condiciones de operación de la D.A (Digestión Anaerobia), para la determinación del las constantes del proceso fisicoquímico, con el objeto de realizar modelización matemática del proceso, que nos permite tener un mayor conocimiento de las variaciones, utilizando simulación aplicando MATLAB/SIMULINK, que se pueden tener en las variables de interés como son, temperatura, pH, naturalezas del inoculo y del sustrato, relación Sustrato-Inoculo, alcalinidad, Potencial Bioquímico de Metano (BMP),  Potencial Bioquímico de Hidrogeno (BHP). Luego de ajustar el modelo, se diseñaran diversas estrategias de control no lineal para el control de temperatura, pH y producción de Metano. Se revisara la robustez vía simulación y se implementara después en la planta.  Con ayuda de un sistema de adquisición de datos/supervisor desarrollado en Labview para la planta, se capturan los datos de la planta con cada una de las estrategias de control desarrolladas y se evaluara, cual presenta mejor desempeño, para con esa estrategia de control y los datos de proceso obtenidos, diseñar un estrategia de optimización del proceso. Con la información obtenida en esta fase estudiaremos la producción combinada de hidrógeno y de metano conjuntamente, aumentando  de hecho no solo el beneficio,  sino también el beneficio energético del proceso.  El prototipo de Reactor de laboratorio consistirá de un sistema de D.A en dos fases empleando dos reactores a escala piloto; un reactor acidogénico (R1) y un reactor metanogénico (R2) construidos en acero inoxidable, con capacidad de 50L y un volumen útil para liquido de 24 L. con un headspace en la parte superior del bioreactor de 26L para el almacenamiento inicial del biogás. Los bioreactores trabajaran en los rangos mesofílico y termofílico con control automático de temperatura. El pH de R1 (bioreactor acidogénico) será mantenido entre 5.0 y 6.5 unidades mientras que el pH en R2 (bioreactor metanogénico) oscilara entre 7.0 y 7.5 unidades.  Para lograr que el pH se mantenga en estos rangos se aplicaran estrategia de control no lineal al sistema de digestión anaerobia que básicamente controlaran la adición de sustancias acidas y básicas a los dos bioreactores.  Se tendrá un control de temperatura que actuara sobre un sistema de intercambio de control, con lo cuál nos permitirá evaluar la producción de Metano e Hidrogeno conjunto a diferentes temperaturas dentro del rango Mesofilico y termofilico, para evaluar con cual podemos alcanzar mayor producción de energéticos renovables en nuestro sistema. Con el proyecto, combinaremos estrategias de modelización, simulación, control y optimización para la producción de Metano e Hidrógeno conjunto vía biológica en digestión anaerobia, logrando conversión de residuos orgánicos en energía y dejando a la Universidad de Ibagué a la vanguardia en la investigación de dichos procesos en Colombia.",,,
Maximiliano Machado Higuera,Teoría de Galois en un modelo de digestión anaerobia para la producción de biogás,Tipo de proyecto: Investigación y desarrollo,Julio 2015,2015,,Agosto 2016,2016,,,,
Maximiliano Machado Higuera,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos,Tipo de proyecto: Investigación y desarrollo,Julio 2015,2015,,Agosto 2016,2016,,,,
Maximiliano Machado Higuera,Construcción de un algoritmo computacional simbólico en series de potencias a partir de ecuaciones diferenciales ordinarias,Tipo de proyecto: Investigación y desarrollo,Febrero 2016,2016,,Diciembre 2017,2017,,,,
Maximiliano Machado Higuera,Existencia de soluciones para un sistema perturbado de ecuaciones diferenciales que modelan la digestión anaerobia para la producción de biogás.,Tipo de proyecto: Investigación y desarrollo,Agosto 2016,2016,,Diciembre 2018,2018,,,,
Maximiliano Machado Higuera,Teoría de Galois diferencial y control en un modelo dinámico de digestión anaerobia para tratamiento de aguas residuales,Tipo de proyecto: Investigación y desarrollo,Enero 2018,2018,,,,,,,
Maximiliano Machado Higuera,Calidad en procesos educativos: Análisis semiótico de criterios evaluativos,Tipo de proyecto: Investigación y desarrollo,Agosto 2019,2019,,,,,,,
Edison Humberto Osorio López,Simulacion de compuestos organicos e inorganicos con potenciales aplicaciones en materiales y como salud,Tipo de proyecto: Investigación y desarrollo,Enero 2014,2014,,Diciembre 2016,2016, Estudio de simulacion computacional en compuestos químicos para ser aplicados tanto en materiales con propiedades deseadadas así como sustancias con potenciales aplicaciones en salud.,,,
Edison Humberto Osorio López,Acumuladores de Hidrogeno: diseño teórico de nuevos materiales a partir de metales estratégicos extraídos en Colombia,Tipo de proyecto: Investigación y desarrollo,Febrero 2015,2015,,Octubre 2017,2017," Proyecto # 211665842965, Acumuladores de Hidrógeno: diseño teórico de nuevos materiales a partir de metales estratégicos extraídos en Colombia. Dicho proyecto esta como financiable en la ultima convocatoria de Ciencias Básicas.",,,
Edison Humberto Osorio López,Investigacion teórica en sistemas químicos,Tipo de proyecto: Investigación y desarrollo,Febrero 2017,2017,,,," En este proyecto de investigacion se pretende realizar el estudio  de estructura electronica y simulación en docking molecular de compuestos organicos e inorganicos, con potenciales usos en materiales y como medicamentos.",,,
Edison Humberto Osorio López,Simulacion de propiedades electronicas en compuestos organicos e inorganicos con potenciales aplicaciones en materiales y como medicamentos,Tipo de proyecto: Investigación y desarrollo,Febrero 2018,2018,,,," En este proyecto de investigacion se pretende realizar el estudio de estructura electronica y simulación en docking molecular de compuestos organicos e inorganicos, con potenciales usos en materiales y como medicamentos.",,,
Jorge Enrique GARCIA MELO,Bidiversidad Faunística y Florística de las Cuencas de los ríos Prado y Amoyá. Biodiversidad Regional fase II. 2004 en curso.Grupo de Investigación en Zoología. Universidad del Tolima y Cortolima.,Tipo de proyecto: Investigación y desarrollo,Enero 2004,2004,,,," Objetivo general Conocer y estudiar la biodiversidad faunística y florística de las cuencas de los ríos Prado y Amoyá, departamento del Tolima. Objetivos específicos Elaborar los mapas de caracterización físico ¿ química de los principales afluentes y del cauce principal de los ríos Prado y Amoyá. Realizar los inventarios correspondientes en flora, macroinvertebrados acuáticos, Lepidópteros diurnos, peces, anuros, reptiles, aves, pequeños mamíferos y  mamíferos voladores. Fortalecer la Colección de Referencia Regional en fauna y el Herbario Toli. Determinar la distribución geográfica de las distintas especies encontradas en el presente estudio. Elaborar los mapas de distribución para cada una de las especies determinadas.",,,
Jorge Enrique GARCIA MELO,Biodiversidad Faunística de la Cuenca del Rio Coello. Biodiversidad Regiona Fase I. 2003. Grupo de Investigación en Zoología. Univesrdiad del Tolima y Cortolima.,Tipo de proyecto: Investigación y desarrollo,Enero 2003,2003,,,," Objetivo General Conocer y estudiar la biodiversidad faunística de la cuenca del río Coello, departamento del Tolima. Objetivos Específicos Elaborar los mapas de caracterización físico ¿ química de los principales afluentes y del cauce principal del río Coello. Realizar los inventarios correspondientes a macroinvertebrados acuáticos, Lepidopteros diurnos, peces, anuros, reptiles, aves y mamíferos voladores. Iniciar la Colección de Referencia Regional en fauna Determinar la distribución geográfica de las distintas especies encontradas en el presente estudio. Elaborar los mapas de distribución para cada una de las especies determinadas.",,,
Jorge Enrique GARCIA MELO,Caracterización genética de poblaciones de Trypanosoma rangeli aisladas de ciclos de transmisión doméstico y silvestre en Colombia.,Tipo de proyecto: Investigación y desarrollo,Enero 2000,2000,,,," Descripción: Objetivo general: Identificar marcadores moleculares que permitan caracterizar y determinar la estructura genética de las poblaciones de Trypanosoma rangeli aisladas en ciclos de transmisión silvestre y doméstico en Colombia. Objetivos especificos: 1. Estimación del flujo genético de poblaciones de Trypanosoma rangeli aisladas en ciclos domésticos y silvestres. 2. Obtener marcadores moleculares basados en el análisis de los productos de PCR obtenidos por RAPDs, que permitan diferenciar las poblaciones de T. rangeli aisladas de ciclos domésticos y silvestres. 3. Comparar la variabilidad de los genes de mini-exon de las poblaciones de T. rangeli aisladas de ciclos domésticos y silvestres, mediante la detección de alteraciones en su secuencia  utilizando la técnica de LSSP-PCR ( Low Stringency Single Primer Polimerase Chain Reaction). 4. Comparar la variabilidad de los cariotipos moleculares de las poblaciones de T. rangeli aisladas de ciclos domésticos y silvestres, mediante el uso de electroforesis de campo pulsado y sondas biotiniladas. 5. Verificar si la presencia de KP1 en las poblaciones de T. rangeli aisladas de ciclos de transmisión domésticos, es un fenómeno de transcinetoplastia e identificar las posibles presiones selectivas que los determinan. 6. Comparar la varibilidad en tamaño de las regiones del espaciador no transcrito interno ribosomal de las poblaciones de T. rangeli aisladas en ciclos domésticos y silvestres. 7. Comparar la varibilidad de marcadores bioquímicos  como afinidad de lectinas por azúcares de la superficie del parásito, producción de neuraminidasa y sensibilidad o resistencia a la lisis mediada por el complemento en las cepas de T. rangeli aisladas en los ciclos domésticos y silvestres. 8. Comparar el comportamiento biológico de las cepas de T. rangeli y verificar la posible existencia de correlación entre las características biológicas y los marcadores moleculares. COLCIENCIAS. Macroproyecto 1105-04-018-99",,,
Olimpo Jose Garcia Beltran,Estudio Limnologico Complejo Lagunar de Caimito,Tipo de proyecto: Extensión y responsabilidad social CTI,Enero 2001,2001,,,,,,,
Olimpo Jose Garcia Beltran,SÍNTESIS DE COMPUESTOS BIFUNCIONALES COMO POSIBLES AGENTES NEUROPROTECTORES,Tipo de proyecto: Investigación y desarrollo,Enero 2013,2013,,Octubre 2016,2016," El hierro está ampliamente distribuido en la naturaleza y es uno de los más importantes elementos presentes en sistemas biológicos. Juega un rol crucial en muchos procesos bioquímicos a nivel celular y tanto su deficiencia como su acumulación excesiva pueden inducir varios desórdenes, entre los que se encuentran las enfermedades neurodegenerativas, que están asociadas con una alta carga de Fe, mayoritariamente en la mitocondria, eje central en la utilización de Fe con fines metabólicos. La mitocondria es, además, el sitio celular donde se produce la mayor cantidad de especies de oxígeno reactivo (ROS), generados como subproducto de la cadena de trasporte de electrones. Debido a su capacidad de intercambiar un electrón en el equilibrio Fe2+/Fe3+, el hierro es un productor de especies radicalarias. Estos radicales pueden provenir de dos mecanismos: el primero de ellos está basado en la reacción de Fenton Fe2+ + H2O2 → Fe3+ + OH‒ + ¿OH) y el segundo en la desaminación oxidativa de neurotransmisores por las monoaminooxidasas (MAO-A y MAO-B). La isoforma MAO-B predomina en el cerebro humano, y sus niveles aumentan en enfermedades neurodegenerativas asociadas al envejecimiento como la enfermedad de Parkinson, lo que disminuye como resultado los niveles de neurotransmisores y fomenta la reducción de O2 a H2O2, conllevando a la formación de ROS. Existe una asociación entre los niveles celulares de hierro y de calcio. Un incremento en los niveles celulares de hierro activa oxidativamente el canal de calcio receptor de ryanodina generando un alza en los niveles de calcio celular. Debido a que niveles elevados de calcio inducen procesos de apoptosis, es probable que un alza significativa en el contenido de hierro induzca la muerte celular mediada por calcio y que compuestos que quelan el hierro o reducen su capacidad oxidativa protejan de esta muerte. Recientemente se han publicado trabajos que describen alternativas para disminuir el potencial tóxico del Fe. Entre éstos se encuentran compuestos bifuncionales como VK-28 y M30, que permiten disminuir el estrés oxidativo. Éstos compuestos tienen la capacidad de atravesar la barrera hematoencefálica, quelan Fe, inhiben selectivamente la MAO-B y han demostrado su capacidad neuroprotectora en modelos de la enfermedad de Parkinson. El objetivo central de este proyecto es el diseño y la síntesis de compuestos bifuncionales derivados de cumarina, a los cuales se les determinará sus constantes fotofísicas (frecuencias de excitación y emisión, coeficientes de extinción molar (ε), rendimiento cuántico (Φ) y tiempo de vida (τ)) y cómo cambian estas constantes al quelar metales y radicales libres. Posteriormente se determinará en una línea celular de neuroblastoma humano su posible efecto protector de la muerte celular inducida por agentes neurodegenerativos. Esperamos encontrar que derivados de cumarinas quelen Fe y atrapen radicales libres en el medio intracelular, controlando así el aumento de Fe reactivo, la formación de ROS y el aumento tóxico de calcio intracelular, brindando protección contra estímulos que generan muerte celular en enfermedades neurodegenerativas.",,,
Olimpo Jose Garcia Beltran,"EXTRACCIÓN, SEPARACIÓN E IDENTIFICACIÓN CUALITATIVA DE LOS METABOLITOS SECUNDARIOS PRESENTES EN LÍQUENES DEL GÉNERO Usnea spp.",Tipo de proyecto: Investigación y desarrollo,Febrero 2016,2016,,Febrero 2017,2017," Colombia es un país rico en diversidad de especies de flora, fauna, y recursos naturales, por lo que ocupa el segundo lugar a nivel mundial entre los países mega biodiversos, con respecto a los grupos de helechos, musgos y líquenes, Colombia presenta la mayor riqueza de especies en la región neo tropical. Dentro del país la región Andina o cordillerana es la que cuenta con mayor diversidad registrando un número de 1.396 especies. En los líquenes se han identificado más de 800 metabolitos secundarios entre los que se encuentran compuestos úsnicos, los cuales han sido de gran interés por su alto potencial como analgésicos, antiinflamatorios y antitumorales. Por esta razón este estudio tiene como objetivo realizar la extracción, separación, purificación e identificación cualitativa de la familia de metabolitos secundarios mayoritarios presentes en líquenes del genero Usnea spp. por medio de técnicas de cromatografía.",,,
Olimpo Jose Garcia Beltran,Identificación química de los metabolitos secundarios de Usnea rubicunda Stirton y evaluación de la actividad antioxidante,Tipo de proyecto: Investigación y desarrollo,Febrero 2017,2017,,,," Colombia es el segundo país rico  en biodiversidad en especies de flora, fauna y recursos naturales a nivel mundial; con respecto a los líquenes, musgos y helechos Colombia presenta la mayor riqueza de especies en la región neo tropical. Dentro del país la región Andina o cordillerana es la que cuenta con mayor diversidad registrando un número de 1.396 especies, no obstante se conoce muy poco de los líquenes de ellos en cuanto a su composición química. Así, en el presente trabajo, se mostraran los resultados derivados del estudio químico y la evaluación del potencial antioxidante de la especie Usnea rubicunda, recolectado en la cuenca alta del río Combeima municipio de Ibagué ¿ Tolima. El potencial antioxidante se determinará a partir del extracto metanólico mediante  metodologías como la  evaluación de la actividad de los radicales DPPH, la Identificación por Cromatográfía y Técnicas electroquímicas.",,,
Olimpo Jose Garcia Beltran,IDENTIFICACIÓN  DE PESTICIDAS EN  CULTIVOS DE ARROZ MEDIANTE TECNICAS CROMATOGRAFICAS,Tipo de proyecto: Investigación y desarrollo,Febrero 2017,2017,,,," El arroz es el cereal más importante que se cultiva en el país, es fuente de empleo e ingreso 150.000 pobladores rurales, el aumento de la productividad del arroz depende en gran medida de la aplicación de productos agroquímicos como fertilizantes y pesticidas. Los pesticidas son eficientes en el control de las malas hierbas y las plagas durante la siembra, tanto el medio ambiente y los productos de los cultivos podrían verse gravemente contaminadas. Este uso de pesticida ha prendido las alarmas nacionales e internacionales sobre la bioacumulación que pueden presentar cultivos por el uso excesivo de estos compuestos. Por lo tanto, es de suma importancia la implementando de diferentes métodos entre los cuales están los cromatográficos para Identificar la presencia de pesticidas  en granos de arroz en el municipio de Ibagué.",,,
