Investigador,Nombre del producto,Tipo,Autores,Lugar,Libro,Editorial,ISBN,Año,Volumen,Páginas,Palabras,Área,Sectores
Carlos Eduardo Beltran Reyes,Cattleya trianae Classification and Varieties by Colorimetry,Capítulo de libro,"MANUEL GUILLERMO FORERO VARGAS, CARLOS EDUARDO BELTRAN REYES",Colombia,"2015 20th SYMPOSIUM ON SIGNAL PROCESSING, IMAGES, AND COMPUTER VISION (STSIVA)", IEEE Publications,978-1-4673-9460-4,2015,.,384- 388,,,
Tatiana Hernández Cifuentes,Análisis del nivel de integración de tecnologías de la información en la prestación de servicios hoteleros en Tolima,Capítulo de libro,"TATIANA HERNANDEZ CIFUENTES, HELGA PATRICIA BERMEO ANDRADE, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ, DORA LUZ GONZALEZ BANALES",Colombia,Gestión y nuevas tendencias en la hotelería, Universidad Externado de Colombia,9789587906523,2021,.,17- 39,"Operaciones hoteleras,","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,",
Nyckyiret florez barreto,Analisis de una propuesta metodologica para la enseñanza articulada de la fisica y el calculo,Capítulo de libro,NYCKYIRET FLOREZ BARRETO,Colombia,"Aprender, Formas y Educar para una sociedad del conocimiento", Editorial Corporacion CIMTED,978-958-56608-3-0,2018,.,218- 240,,,
Nyckyiret florez barreto,Analisis de una propuesta metodologica para la enseñanza articulada de la fisica y el calculo,Otro capítulo de libro publicado,NYCKYIRET FLOREZ BARRETO,Colombia,"Aprender, Formar y Educar para una sociedad del conocimiento", Corporación Centro Internacional de Marketing,978-958-56608-3-0, 241,ritorial para la Educación y el Desarrollo.,"oración CIMTED, v.",,,
Sergio Alejandro Balaguera Reina,"Phyllostomid bats as a model to test zoogeographic units in Ecuador: insights for biogeography, conservation, and management.0",Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Estados Unidos,From Field to Laboratory: A Memorial Volume in Honor of Robert J. Baker, Museum of Texas Tech University,1-929330-37-5,1,.,309- 331,,,
Sergio Alejandro Balaguera Reina,Crocodylus acutus (Cuvier 1807),Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Colombia,Libro rojo de reptiles de Colombia, Instituto Alexander Von Humboldt Instituto De Ciencias Naturales De La Universidad Nacional,978-958-888-979-5,2015,.,190- 195,,,
Sergio Alejandro Balaguera Reina,Estado del avance del Plan de Conservación de Felinos del caribe colombiano (PCFC) e identificación de las prioridades de investigación y gestión para la conservación estas especies y sus hábitats.,Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Colombia,Plan de Conservación de Felinos del Caribe Colombiano: Los felinos y su papel en la planificación regional integral basada en especies clave, Fundación Herencia Ambiental Colombia,978-958-99685-2-9,2013,.,149- 165,,,
Sergio Alejandro Balaguera Reina,Definición metodológica del Plan de Conservación de Felinos del Caribe Colombiano: lineamientos generales,Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Colombia,Plan de Conservación de Felinos del Caribe Colombiano: Los felinos y su papel en la planificación regional integral basada en especies clave, Fundación Herencia Ambiental Colombia,978-958-99685-2-9,2013,.,35- 50,,,
Sergio Alejandro Balaguera Reina,"Ecología poblacional del caimán aguja (Crocodylus acutus Cuvier, 1807) en el Parque Nacional Natural Tayrona, Caribe colombiano",Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Colombia,"Homenaje a Federico Medem, aportes a la herpetología colombiana", Empresa Editorial Universidad Nacional De Colombia,978-958-783-693-6,2018,.,49- 59,,,
Sergio Alejandro Balaguera Reina,"Cómo lograr coexistencia entre cocodrilos y humanos? relaciones etnozoológicas entre el caimán aguja y las comunidades humanas en el Parque Nacional Natural Tayrona, Caribe colombiano.",Capítulo de libro,SERGIO ALEJANDRO BALAGUERA REINA,Colombia,"Homenaje a Federico Medem, aportes a la herpetología colombiana", Empresa Editorial Universidad Nacional De Colombia,978-958-783-693-6,2018,.,89- 98,,,
Yair Guillermo Molina Martínez,Atlapetes flaviceps,Capítulo de libro,YAIR GUILLERMO MOLINA MARTINEZ,Colombia,"Libro Rojo De Las Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes Y La Costa Pacífica", Ecoe Ediciones Universidad Javeriana,9789587166712,2013,.,328- 329,,,
Richard Clayton Doughman III,Might the Keys to Peace Open the Doors to Extractivism? Reflections on Colombia¿s Post- Conflict Extractive Economy,Capítulo de libro,RICHARD CLAYTON DOUGHMAN III,Estados Unidos,Handbook Of Research On Transitional Justice And Peace Building In Turbulent Regions, IGI Global,9781466696754,2016,.,444- 470,"Accumulation by Dispossession,","Ciencias Sociales -- Sociología -- Sociología,",
Richard Clayton Doughman III,Violencia extractivista y el reto de la reconciliación con la naturaleza en el posacuerdo,Capítulo de libro,RICHARD CLAYTON DOUGHMAN III,Colombia,Los olvidados de la paz, Universidad del Rosario,9789587840940,2018,.,200-,,,
Richard Clayton Doughman III,Guia para elaborar un ensayo académico,Otro capítulo de libro publicado,"RICHARD CLAYTON DOUGHMAN III, MARTHA ELIZABETH FAJARDO VALBUENA",Colombia,Guías para la producción de textos académicos, Editorial Universidad De Ibague Coruniversitaria,2216-0302,2018,.,28- 31,,,
Richard Clayton Doughman III,El estado del derecho humano a la alimentación y nutrición adecuadas de la población migrante venezolana en Colombia,Otro capítulo de libro publicado,RICHARD CLAYTON DOUGHMAN III,Colombia,UN PAÍS QUE SE HUNDE EN EL HAMBRE Cuarto informe sobre la situación del derecho humano a la alimentación y nutrición adecuadas en Colombia / 2021, FIAN Colombia,9789585892996,2021,.,283- 308,,,
Richard Clayton Doughman III,Humanidades y posacuerdo. Una reflexión del Área Sociohumanística de la Universidad de Ibagué,Capítulo de libro,"RICHARD CLAYTON DOUGHMAN III, SANDRA GUTIERREZ ABELLA, PATRICIA COBA GUTIERREZ",Colombia,Concepciones del profesorado sobre la enseñanza de las humanidades en la educación superior, Departamento Publicaciones Universidad Santo Tomas,978-958-782-512-1,2022,.,281- 303,,"Humanidades -- Otras Humanidades -- Otras Humanidades,",
ALFREDO JOSE TORRES BENITEZ,Briófitos y líquenes,Capítulo de libro,"ALFREDO JOSE TORRES BENITEZ, SANTIAGO NICOLAS ZARATE ARIAS, JUAN CAMILO GOMEZ, ANA MARIA CALDERON",Colombia,MARIPOSARIO DEL TOLIMA Laboratorio de Biodiversidad Urbana, Editorial Universidad De Ibague Coruniversitaria,978-958-754-311-7,2018,.,53- 59,,"Ciencias Naturales -- Ciencias Biológicas -- Botánica y Ciencias de las Plantas,",
ALFREDO JOSE TORRES BENITEZ,"Evaluación de la calidad atmosférica en zonas verdes y de tráfico vehicular de la ciudad de Ibagué (Tolima, Colombia) mediante el estudio de líquenes corticícolas",Capítulo de libro,"MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Perú,Trabajos científicos del IV Congreso Nacional de Liquenología del Perú y I Congreso Nacional de Lomas, Asociación Proyectos Ecológicos Perú,978-612-47537-2-5,2021,.,220- 229,,"Ciencias Naturales -- Ciencias Biológicas -- Ecología,",
ALFREDO JOSE TORRES BENITEZ,Dinámica de calidad atmosférica en la cuenca del río Combeima (Colombia) y su relación con la comunidad de líquenes cortícolas,Capítulo de libro,"MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Perú,Trabajos científicos del V Congreso Nacional de Liquenología del Perú ¿Líquenes en Montañas y Nevados¿, Asociación Proyectos Ecológicos Perú,978-612-47537-4-9,2021,.,39- 49,,"Ciencias Naturales -- Ciencias Biológicas -- Ecología,",
Miguel César Moreno Palacios,Creurgops verticalis,Capítulo de libro,"EDUARDO GALLO CAJIAO, MIGUEL CESAR MORENO PALACIOS",Colombia,"Libro Rojo De Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes y La Costa Pacífica", Ecoe Ediciones Universidad Javeriana,9789587166712,2014,.,288- 290,,,
Miguel César Moreno Palacios,Xenopipo flavicapilla,Capítulo de libro,MIGUEL CESAR MORENO PALACIOS,Colombia,"Libro Rojo De Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes y La Costa Pacífica", Ecoe Ediciones Universidad Javeriana,9789587166712,2014,.,272- 274,,,
Miguel César Moreno Palacios,Leptotila conoveri,Capítulo de libro,"ANGELICA CARVAJAL RUEDA, MIGUEL CESAR MORENO PALACIOS, SERGIO LOSADA PRADO",Colombia,"Libro Rojo De Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes y La Costa Pacífica", Ecoe Ediciones Universidad Javeriana,9789587166712,2014,.,113- 116,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.,"
Miguel César Moreno Palacios,"Erythrina alkaloids. Recent advances in their synthesis, isolation and pharmacology",Capítulo de libro,"OLIMPO JOSE GARCIA BELTRAN, MIGUEL CESAR MORENO PALACIOS",Estados Unidos,"Alkaloids; Biosynthesis, Biological Roles And Health Benefits", Nova Science Publishers,978-1-63482-075-2,2015,.,107- 129,,"Ciencias Naturales -- Ciencias Biológicas -- Bioquímica y Biología Molecular,",
Miguel César Moreno Palacios,Conectando la Universidad con la Biósfera,Otro capítulo de libro publicado,"MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia,Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera, Editorial Universidad De Ibague Coruniversitaria,9789587541571,2015,.,179- 194,,,
Miguel César Moreno Palacios,Conectando la Universidad con la Biósfera,Otro capítulo de libro publicado,"MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia,Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera, Editorial Universidad De Ibague Coruniversitaria,9789587541571,2015,.,179- 194,,,
Miguel César Moreno Palacios,Antocephala floriceps,Capítulo de libro,"ANDREA MORALES ROZO, ALEJANDRO RICO GUEVARA, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia,"Libro Rojo de Aves de Colombia, Volumen 2: Ecosistemas abiertos, secos, insulares, acuáticos continentales, marinos, tierras altas del darién y sierra nevada de santa marta y bosques húmedos del centro norte y oriente del país", Ecoe Ediciones Universidad Javeriana,978-958-716-980-5,2016,.,196- 198,,,
Miguel César Moreno Palacios,Antocephala berlepschi,Capítulo de libro,"ALEJANDRO RICO GUEVARA, ANDREA MORALES ROZO, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia,"Libro Rojo de Aves de Colombia, Volumen 2: Ecosistemas abiertos, secos, insulares, acuáticos continentales, marinos, tierras altas del darién y sierra nevada de santa marta y bosques húmedos del centro norte y oriente del país", Ecoe Ediciones Universidad Javeriana,978-958-716-980-5,2016,.,200- 203,,,
Miguel César Moreno Palacios,Crax alberti,Capítulo de libro,"JOSE MANUEL OCHOA QUINTERO, ISABEL MELO VASQUEZ, MIGUEL CESAR MORENO PALACIOS",Colombia,"Libro Rojo de Aves de Colombia, Volumen 2: Ecosistemas abiertos, secos, insulares, acuáticos continentales, marinos, tierras altas del darién y sierra nevada de santa marta y bosques húmedos del centro norte y oriente del país", Ecoe Ediciones Universidad Javeriana,978-958-716-980-5,2016,.,96- 102,,,
