Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,ISBN,Año,Volumen,Páginas,Palabras,Área
Jorge Enrique GARCIA MELO,"Edilberto Calderón, 50 Años De Pintura",Otro libro publicado,JORGE ENRIQUE GARCIA MELO,Colombia,Centro de publicaciones Universidad del Tolima,978-958-8747-20-0,2012,1,pags. 213,,
Jorge Enrique GARCIA MELO,Naturaleza Inadvertida: Conectando la Universidad con la Biósfera. Nature Unnoticed: Connecting the University with the Biosphere.,Libro resultado de investigación,"JORGE ENRIQUE GARCIA MELO, LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA",Colombia,Ediciones Unibagué,978-958-754-158-8,2015,,pags.,,
Alexander Cortés Soto,Informe De Vigilancia Tecnológica Aplicada Al Estudio De La  Técnica De Endurecimiento De Superficies,Libro resultado de investigación,ALEXANDER CORTES SOTO,Colombia,Colciencias,978-958-8290-39-3,2007,,pags.,,
Lida Marcela Franco Pérez,Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,Libro resultado de investigación,"LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, JORGE ENRIQUE GARCIA MELO",Colombia,Editorial Universidad De Ibague Coruniversitaria,9789587541571,2015,,pags.,,
Carlos Eduardo Beltran Reyes,Geometrias de uso en Arquitectura ( Notas Universitarias ),Otro libro publicado,CARLOS EDUARDO BELTRAN REYES,Colombia,Universidad de Ibagué,1794-1997,2009,150,pags. 75,,
Carlos Eduardo Beltran Reyes,Geometria de uso en arquitectura segunda edicion,Libro resultado de investigación,CARLOS EDUARDO BELTRAN REYES,Colombia,Universidad de Ibagué,1794-1997,2011,,pags.,,"Ciencias Naturales -- Matemática -- Matemáticas Aplicadas,"
Tatiana Hernández Cifuentes,Ibagué imaginada,Libro resultado de investigación,"ANGELA MARIA LOPERA MOLANO, CARLOS MAURICIO SANTANA SAENZ, NYDIA MOLANO LUGO, TATIANA HERNANDEZ CIFUENTES, YORLADYS MAYILSEN MARTINEZ AROCA",Colombia,Ediciones Unibagué,978-958-754- 324-7,2019,,pags.,"Imaginarios urbanos,","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria,"
Luz Adriana Sánchez Echeverri,"Proceso de formulación y gestión de proyectos de investigación, desarrollo e innovación (i+d+i) de acuerdo con los requisitos de la norma técnica colombiana 5802 del 2008",Libro resultado de investigación,"LUZ ADRIANA SANCHEZ ECHEVERRI, NELSON JAVIER TOVAR PERILLA, NATALIA MOLINA AREVALO",Colombia,Universidad Nacional Abierta Y A Distancia Unad,978-958-651-858-1,2022,,pags.,,"Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,"
Nyckyiret florez barreto,Taller de Geometría,Otro libro publicado,NYCKYIRET FLOREZ BARRETO,Colombia,Universidad de Ibagué,9788495315915,2008,80,pags. 77,"Ecuaciones diferenciales,","Ciencias Naturales -- Matemática -- Matemáticas Puras,"
Sergio Alejandro Balaguera Reina,"Guía De Campo Para La Conservación De Los Felinos Del Caribe Colombiano: ¿Felinos Del Caribe, Identidad Biológica Y Cultural En Una Ecorregión Felina¿",Libro resultado de investigación,"CARLOS CASTANO URIBE, CRISTAL DEL MAR ANGE JARAMILLO, SERGIO ALEJANDRO BALAGUERA REINA, JOSE FERNANDO GONZALEZ MAYA, DIEGO ANDRES ZARRATE CHARRY, AMANCAY DE ATACAMA CEPEDA MERCADO",Colombia,Conservacion Internacional Colombia,978-958-99685-0-5,2011,,pags.,,
Sergio Alejandro Balaguera Reina,"Conservando el Caimán aguja: Plan para su conservación, manejo y uso sostenible en el sector nororiental del departamento del Magdalena",Libro resultado de investigación,"SERGIO ALEJANDRO BALAGUERA REINA, BETTY LORENA CARVAJAL BONILLA, NIDIA FARFAN ARDILA",Colombia,Universidad de Ibagué,978-958-754-319-3,2019,,pags.,,
Yair Guillermo Molina Martínez,Aportes A La Historia Natural Del Paujil De Pico Azul (Crax Alberti),Libro resultado de investigación,"MIGUEL CESAR MORENO PALACIOS, YAIR GUILLERMO MOLINA MARTINEZ",España,Editorial Académica Española,9783844343861,2011,1,pags. 156,"AVES,","Ciencias Naturales -- Ciencias Biológicas -- Ecología,"
Yair Guillermo Molina Martínez,Guía De Campo - Aves Del Corredor Biológico Pnn Cueva De Los Guácharos - Pnn Puracé,Libro resultado de investigación,YAIR GUILLERMO MOLINA MARTINEZ,Colombia,Litosol Impresores,9583352470,2009,0,pags. 365,,
Yair Guillermo Molina Martínez,Guía De Campo - Aves Del Corredor Biológico Pnn Cueva De Los Guácharos - Pnn Puracé,Libro resultado de investigación,"FRANKLIN ALBERTO PLATA, GLORIA ACOSTA, JOAQUIN FERNANDO SANCHEZ, MIGUEL ANGEL QUIMBAYO, YAIR GUILLERMO MOLINA MARTINEZ",Colombia,Litosol Impresores,9583352470,2003,1,pags. 365,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Yair Guillermo Molina Martínez,"El Tolima, Diversidad En El Corazón De Los Andes Colombianos",Libro resultado de investigación,"GLADYS REINOSO FLOREZ, JORGE ENRIQUE GARCIA MELO, MAURICIO ALEJANDRO VEJARANO D, FRANCISCO ANTONIO VILLA NAVARRO, GIOVANY GUEVARA CARDONA, YAIR GUILLERMO MOLINA MARTINEZ, DERLY CONSTANZA YARA ORTIZ, CLAUDIA LORENA YARA ORTIZ, JESUS MANUEL VASQUEZ RAMOS, JAIDER MANUEL PENA CERPA, YESSICA TATIANA PARRA TRUJILLO, EDWIN ORLANDO LOPEZ DELGADO, KARINA ALEXANDRA GUTIERREZ DIAZ, CAROLINA GUTIERREZ, EMMA YICEL GALINDO ESPINOZA, XIMENA CARRANZA HERNANDEZ",Colombia,León Editores,978-958-9243-52-7,2009,0,pags. 260,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Yair Guillermo Molina Martínez,"Ibagué, entre alas, colores y cantos: Guía de las aves más buscadas",Libro resultado de investigación,"MIGUEL CESAR MORENO PALACIOS, YAIR GUILLERMO MOLINA MARTINEZ",Colombia,Ediciones Unibagué,978-958-754-359-9,2021,,pags.,"AVES,","Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Richard Clayton Doughman III,La Chipa Y La Soja: La Pugna Gastropolítica En La Frontera Agroexportadora Del Este Paraguayo,Libro resultado de investigación,RICHARD CLAYTON DOUGHMAN III,Paraguay,Base Investigaciones Sociales,978-99953-927-9-6,2011,,pags.,"Campesinos,",
Richard Clayton Doughman III,La Usaid En Paraguay:  La Asistencia Como Estratégia De Dominación,Libro resultado de investigación,"RICHARD CLAYTON DOUGHMAN III, CRISTINA CORONEL, ELIZABETH DURE, ABEL IRALA, MARIELLE PALAU, RAUL ZIBECHI",Paraguay,Base Investigaciones Sociales,978-99967-669-6-1,2012,,pags.,"USAID,",
Richard Clayton Doughman III,Agresiones Al Derecho A La Alimentación: Situación En Comunidades Campesinas E Indígenas,Libro resultado de investigación,"MILENA PEREIRA FUKUOKA, RICHARD CLAYTON DOUGHMAN III, JORGE GONZALEZ SOLIS",Paraguay,Base Investigaciones Sociales,978-99967-669-5-4,2012,,pags.,"Derecho a la alimentación,",
Richard Clayton Doughman III,Aportes a la formación integral desde la formación sociohumanística,Libro resultado de investigación,"RICHARD CLAYTON DOUGHMAN III, SANDRA GUTIERREZ ABELLA, EDGAR DELGADO RUBIO, PATRICIA COBA GUTIERREZ, NIDIA CHAPARRO CUERVO",Colombia,Ediciones Unibagué,978-958-754-356-8,2020,,pags.,,"Humanidades -- Otras Humanidades -- Otras Humanidades,"
Richard Clayton Doughman III,Mujeres Campesinas: Actoras De La Producción Y De La Soberanía Alimentaria,Otro libro publicado,"ELIZABETH DURE, JAQUELINA ORTEGA, MARIELLE PALAU, SEBASTIAN PALAU, RICHARD CLAYTON DOUGHMAN III",Colombia,Servilibro,978-99953-0-408-9,2011,0,pags. 256,,
ALFREDO JOSE TORRES BENITEZ,Estudio de la composición fisicoquímica de los lodos fluviovolcánicos y su relación con los procesos de sucesión vegetal 35 años después de la erupción del volcán Arenas del Nevado del Ruíz,Libro resultado de investigación,ALFREDO JOSE TORRES BENITEZ,Alemania,Editorial Académica Española,978-620-0-41833-3,2020,,pags.,,"Ciencias Naturales -- Ciencias Biológicas -- Ecología,"
Miguel César Moreno Palacios,"Ibagué, entre alas, colores y cantos. Guía de las aves más buscadas",Libro resultado de investigación,"YAIR GUILLERMO MOLINA MARTINEZ, MIGUEL CESAR MORENO PALACIOS",Colombia,Universidad de Ibagué,978-958-754-359-9,2021,,pags.,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Miguel César Moreno Palacios,Aportes A La Historia Natural Del Paujil De Pico Azul (Crax Alberti),Libro resultado de investigación,"MIGUEL CESAR MORENO PALACIOS, YAIR GUILLERMO MOLINA MARTINEZ",Alemania,Editorial Académica Española,9783844343861,2011,1,pags. 147,"Crax alberti,","Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Miguel César Moreno Palacios,"Libro Rojo De Las Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes Y La Costa Pacífica",Libro resultado de investigación,MIGUEL CESAR MORENO PALACIOS,Colombia,Ecoe Ediciones Universidad Javeriana,9789587166712,2014,,pags.,,
Miguel César Moreno Palacios,"Libro Rojo De Las Aves De Colombia, Volumen 1: Bosques Húmedos De Los Andes Y La Costa Pacífica",Libro resultado de investigación,"EDUARDO GALLO CAJIAO, MIGUEL CESAR MORENO PALACIOS",Colombia,Ecoe Ediciones Universidad Javeriana,9789587166712,2014,,pags.,,
