Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
Edison Humberto Osorio López,Activation and diffusion of ammonia borane hydrogen on gold tetramers,Artículo - Publicado en revista especializada,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ, CACIER ZILAHY HADAD ARRIAGADA",  Estados Unidos," John Wiley & Sons, Inc.", 10.1002/qua.25567, 1097-461X,International Journal of Quantum Chemistry,2017, 25567, , 1, 9,,,
Edison Humberto Osorio López,"Cholinesterase Inhibition Activity, Alkaloid Profiling and Molecular Docking of Chilean Rhodophiala (Amaryllidaceae).",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules23071532, 1420-3049,Molecules,2018, 23, 7, 1532, N/A,,,
Jorge Enrique GARCIA MELO,"Distribución altitudinal y diversidad de la familia Astroblepidae (Pisces, Siluriformes), en la cuenca del río Coello",Artículo - Publicado en revista especializada,"NEGOVER BRINEZ, FRANCISCO ANTONIO VILLA NAVARRO, GLADYS REINOSO FLOREZ, ARMANDO ORTEGA LARA, JORGE ENRIQUE GARCIA MELO",  Colombia, Unibiblos Universidad Nacional De Colombia,, 0122-9982,Dahlia,2005, 8, Agosto, 39, 46,"Ictiología, Conservación,",,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.,"
Jorge Enrique GARCIA MELO,"A New Pristella (Characiformes: Characidae) from the Río Orinoco Basin, Colombia, with a Redefinition of the Genus",Artículo - Publicado en revista especializada,"JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO",  Estados Unidos, American Society of Ichthyologists and Herpetologists, 10.1643/CI-18-147, 1938-5110,Copeia,2019, 107, 3, 439, 446,,,
Jorge Enrique GARCIA MELO,Estado actual y perspectivas de conservación frente al comercio ilegal de fauna silvestre en el departamento del Tolima (Colombia).,Artículo - Publicado en revista especializada,"DIANA KARINA ROJAS BRINEZ, JORGE ENRIQUE GARCIA MELO",  Colombia, Unilibros Universidad Nacional,, 1909-4841,Tumbaga,2013, 8, N/A, 97, 111,,,
Jorge Enrique GARCIA MELO,Oportunidades y desafíos de los docentes en programas de biología con asignaturas teórico-prácticas de dos institucionescolombianas de educación superior bajo restricciones de pandemia,Artículo - Revisión (Survey),"GIOVANY GUEVARA CARDONA, JORGE ENRIQUE GARCIA MELO, LIDA MARCELA FRANCO PEREZ",  España," Organización de Estados Iberoamericanos para la Educación, la  Ciencia y la Cultura", 10.35362/rie8814833, 1022-6508,Revista Iberoamericana De Educación,2022, 88, 1, 85, 100,"Colombia,",,
Jorge Enrique GARCIA MELO,"Aspectos bioecològicos de Microgenys minuta (Characidae) en la cuenca del rio Totare, sistemario Magdalena, Colombia Colombia",Artículo - Publicado en revista especializada,"YEIMY YANETH LOZANO ZARATE, GLADYS REINOSO FLORES, FRANCISCO ANTONIO VILLA NAVARRO, LUIS JOSE GARCIA MELO, JORGE ENRIQUE GARCIA MELO",  Colombia, Unibiblos Universidad Nacional De Colombia,, 0122-9982,Dahlia,2006, 10, N/A, 65, 82,,,
Jorge Enrique GARCIA MELO,Evaluación del rio Prado a partir de los macroinvertebrados y de la calidad del agua,Artículo - Publicado en revista especializada,"GLADYS REINOSO FLOREZ, MAURICIO ALEJANDRO VEJARANO DELGADO, FRANCISCO ANTONIO VILLA NAVARRO, JORGE ENRIQUE GARCIA MELO, GIOVANY GUEVARA CARDONA",  Colombia, Asociacion Colombiana De Ciencias Biologicas,, 0120-4173,Revista De La Asociación Colombiana De Ciencias Biológicas,2008, 20, 1, 102,,,,
Jorge Enrique GARCIA MELO,Aportes para el análisis de ecosistemas fluviales: una visión desde ambientes ribereños.,Artículo - Publicado en revista especializada,"GIOVANY GUEVARA CARDONA, GLADYS REINOSO FLORES, JORGE ENRIQUE GARCIA MELO",  Colombia, Unilibros Universidad Nacional,, 1909-4841,Tumbaga,2008, 3, 1, 159, 177,,,
Jorge Enrique GARCIA MELO,"Peces del río Atrato, zona hidrogeográfica del caribe",Artículo - Publicado en revista especializada,"JAVIER MALDONADO OCAMPO, FRANCISCO ANTONIO VILLA NAVARRO, ARMANDO ORTEGA LARA, SAULO PRADA PEDREROS, JORGE ENRIQUE GARCIA MELO",  Colombia, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,, 0124-5376,Biota Colombiana,2006, 7, 1, 14, 16,,,
Jorge Enrique GARCIA MELO,"Peces del alto Magdalena, cuenca del río Magdalena,Colombia",Artículo - Publicado en revista especializada,"FRANCISCO ANTONIO VILLA NAVARRO, PAMELA TATIANA ZUNIGA UPEGUI, DENISSE CASTRO ROA, JORGE ENRIQUE GARCIA MELO, LUIS JOSE GARCIA MELO",  Colombia, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,, 0124-5376,Biota Colombiana,2006, 7, 1, 3, 21,,,
Jorge Enrique GARCIA MELO,"Aspectos ecológicos de Chaetostoma sp. (Siluriformes: Loricariidae) en el alto río Magdalena, Colombia. Biota Colombiana",Artículo - Publicado en revista especializada,"JORGE ENRIQUE GARCIA MELO, GLADYS REINOSOS FLORES, FRANCISCO ANTONIO VILLA NAVARRO, LUIS JOSE GARCIA MELO",  Estados Unidos, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,, 0124-5376,Biota Colombiana,2014, 15, 2, 81, 94,,,
Jorge Enrique GARCIA MELO,"A new species of Hisonotus (Siluriformes: Otothyrinae) from the upper rio Paraná and rio São Francisco basins, Brazil.",Artículo - Publicado en revista especializada,JORGE ENRIQUE GARCIA MELO,  Estados Unidos, Magnolia Press, http://www.mapress.com/j/zt/article/view/zootaxa.4109.2.7, 1175-5326,Zootaxa,2016, 4109, 2, 228, 238,,,
Jorge Enrique GARCIA MELO,"Historia de vida del bagre Imparfinis usmai (Heptapteridae: Siluriformes) en el área de influencia del proyecto hidroeléctrico El Quimbo, alto río Magdalena, Colombia",Artículo - Publicado en revista especializada,"JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO, GLADYS REINOSO FLORES, LUIS JOSE GARCIA MELO, PAMELA TATIANA ZUNIGA UPEGUI",  Colombia, Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,  0124-5376, 0124-5376,Biota Colombiana,2014, 15, 2, 111, 126,,,
Jorge Enrique GARCIA MELO,"Systematic review on the biology, ecology, genetic diversity and parasite transmission potential of Panstrongylus geniculatus (Latreille 1811) in Latin America",Artículo - Revisión (Survey),"RICARDO JOSE VIVAS MEDINA, JORGE ENRIQUE GARCIA MELO, FELIPE GUHL NANNETTI, DIANA CAROLINA HERNANDEZ CASTRO, NATALIA VELASQUEZ ORTIZ, JUAN DAVID RAMIREZ GONZALEZ, JULIO CESAR CARRANZA MARTINEZ, GUSTAVO ADOLFO VALLEJO",  Brasil, Instituto Oswaldo Cruz, 10.1590/0074-02760200528, 0074-0276,Memorias do Instituto Oswaldo Cruz,2021, 116, NA, 1, 18,"ANALISIS MOLECULAR, TRIPANOSOMA,",,
Jorge Enrique GARCIA MELO,Species delimitation reveals an underestimated diversity of Andean catfishes of the family Astroblepidae (Teleostei: Siluriformes),Artículo - Publicado en revista especializada,"LUZ ENEIDA OCHOA ORREGO, JORGE ENRIQUE GARCIA MELO, JAVIER MALDONADO OCAMPO, JUAN GABRIEL ALBORNOZ GARZON, FRANCISCO ANTONIO VILLA NAVARRO, ARMANDO ORTEGA LARA",  Brasil,, 10.1590/1982-0224-2020-0048, 1982-0224,Neotropical Ichthyology,2020, 18, 4, 1, 19,"Taxonomy,",,
Jorge Enrique GARCIA MELO,"Fishes from the Río Alvarado drainage, Upper Río Magdalena Basin, Colombia",Artículo - Publicado en revista especializada,"JUAN GABRIEL ALBORNOZ GARZON, EDWIN ORLANDO LOPEZ DELGADO, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO",  Bulgaria, Centro de Referencia em Informacao Ambiental, 10.15560/16.5.1181, 1809-127X,Check List,2020, 16, 5, 1181, 1198,"Neotropical Region,",,
Jorge Enrique GARCIA MELO,"A new species of Pimelodella Eigenmann & Eigenmann, 1888 (Siluriformes: Heptapteridae) from the Sierra Nevada de Santa Marta, Colombia",Artículo - Publicado en revista especializada,"JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO", , Magnolia Press, 10.11646/466848, 1175-5326,Zootaxa,2019, 4, , 562, 574,,,
Jorge Enrique GARCIA MELO,"First records of the family Scoloplacidae (Siluriformes, Loricarioidei) in Colombia, including a range expansion of Scoloplax baileyi Rocha, Lazzarotto & Py-Daniel, 2012 (PDF) First records of the family Scoloplacidae (Siluriformes, Loricarioidei) in Colombia, including a range expansion of Scolop",Artículo - Publicado en revista especializada,"JUAN GABRIEL ALBORNOZ GARZON, ASTRID ALEXIA ACOSTA SANTOS, JORGE ENRIQUE GARCIA MELO, EDWIN AGUDELO CORDOBA, FRANCISCO ANTONIO VILLA NAVARRO, CARLOS LUIS DONASCIMIENTO MONTOYA", , Centro de Referencia em Informacao Ambiental, 10.15560/14.6.1071, 1809-127X,Check List,2018, 14, 6, 1071, 1076,,,
Jorge Enrique GARCIA MELO,Photafish system: An affordable device for fish photography in the wild,Artículo - Publicado en revista especializada,"JORGE ENRIQUE GARCIA MELO, LUIS JOSE GARCIA MELO, DIANA KARINA ROJAS BRINEZ, GIOVANY GUEVARA CARDONA, JAVIER MALDONADO OCAMPO", , Magnolia Press, 10.11646/455414, 1175-5334,Zootaxa,2019, 1, N/A, 1175, 5334,,,
Jorge Enrique GARCIA MELO,A new driftwood catfish species of Tatia (Teleostei: Auchenipteridae) from the western Amazon River basin in Colombia,Artículo - Publicado en revista especializada,"CARLOS LUIS DONASCIMIENTO MONTOYA, JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO",  Alemania, Editorial Board, 10.23788/IEF-1103, 0936-9902,Ichthyological Exploration of Freshwaters,2019, 1103, N/A, 1, 11,,,
Jorge Enrique GARCIA MELO,Species delimitation of neotropical Characins (Stevardiinae): Implications for taxonomy of complex groups,Artículo - Publicado en revista especializada,"JORGE ENRIQUE GARCIA MELO, LUZ ENEIDA OCHOA ORREGO, JAVIER MALDONADO OCAMPO", , Public Library of Science, 10.1371/journal.pone.0216786, 1932-6203,PLoS ONE,2019, 14, 6, 1, 22,,,
Jorge Enrique GARCIA MELO,"A new species of Creagrutus (Characidae: Stevardiinae) from the upper Río Magdalena, Colombia",Artículo - Publicado en revista especializada,"JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, DONALD CHARLES TAPHORN BAECHLE, FRANCISCO ANTONIO VILLA NAVARRO", , Magnolia Press, 10.11646/448226, 1175-5326,Zootaxa,2018, 2, N/A, 341, 354,,,
Jorge Enrique GARCIA MELO,"First record of the miniature catfish Malacoglanis gelatinosus Myers & Weitzman, 1966 (Siluriformes, Trichomycteridae) in the Orinoco river basin",Artículo - Publicado en revista especializada,"DIANA CAROLINA MONTOYA OSPINA, JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, CARLOS LUIS DONASCIMIENTO MONTOYA, FRANCISCO ANTONIO VILLA NAVARRO", , Centro de Referencia em Informacao Ambiental, 10.15560/141101, 1809-127X,Check List,2018, 14, 1, 101, 106,,,
Jorge Enrique GARCIA MELO,"A new species of Hemibrycon (Characiformes, Characidae, Stevardiinae) from the upper Magdalena River basin in Colombia",Artículo - Publicado en revista especializada,JORGE ENRIQUE GARCIA MELO,  Colombia, Wiley-VCH Verlag Berlin GmbH, 10.1111/jfb.13634, 0022-1112,Journal of Fish Biology,2018, 92, 6, 1929, 1955,,,
Olimpo Jose Garcia Beltran,The novel mitochondrial iron chelator 5-((methylamino)methyl)-8- hydroxyquinoline protects against mitochondrial-induced oxidative damage and neuronal death,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, MARCO NUNEZ, NATALIA MENA",  Estados Unidos, Academic Press, 10.1016/j.bbrc.2015.06.014, 0006-291X,Biochemical and Biophysical Research Communications,2015, 463, , 787, 792,"Hydroxyquinolines,",,
Olimpo Jose Garcia Beltran,Determination of pentahydroxyflavones using a coated chitosan multi-wall carbon nanotubes and ionic liquids glassy carbon electrode by adsorption stripping voltammetry (AdSV),Artículo - Publicado en revista especializada,"EDGAR ORLANDO NAGLES VIDAL, OLIMPO JOSE GARCIA BELTRAN",  Suiza, Elsevier Bv, 10.1016/j.jelechem.2015.11.008, 1572-6657,Journal Of Electroanalytical Chemistry,2015, 759, 2, 153, 157,,,
Olimpo Jose Garcia Beltran,Development of an iron-selective antioxidant probe with protective effects on neuronal function,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARCO NUNEZ, PABLA AGUIRRE, NATALIA MENA, ANTONIO GALDAMEZ, EDGAR ORLANDO NAGLES VIDAL, CECILIA HIDALGO, GERMAN BARRIGA, TATIANA ADASME",  Estados Unidos, Public Library of Science, 10.1371/journal.pone.0189043, 1932-6203,PLoS ONE,2017, 12, N/A, 1, 18,,,
Olimpo Jose Garcia Beltran,"Seco-Taondiol, an Unusual Meroterpenoid from the Chilean Seaweed Stypopodiumflabelliforme and Its Gastroprotective Effect in Mouse Model",Artículo - Publicado en revista especializada,"CARLOS ARECHE, OLIMPO JOSE GARCIA BELTRAN, MARIO SIMIRGIOTIS, BEATRIZ SEPULVEDA",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/md13041726, 1660-3397,Marine Drugs,2015, 13, , 1726, 1738,,,
Olimpo Jose Garcia Beltran,Synthesis and characterization of a novel fluorescent and colorimetric probe for the detection of mercury (II) even in the presence of relevant biothiols,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, ALVARO CANETE, SEBASTIAN CAMILO GALLEGO QUINTERO, MARCO NUNEZ, MARGARITA ALIAGA",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.tetlet.2015.09.001, 0040-4039,Tetrahedron Letters,2015, 56, 42, 5761, 5766,,,
Olimpo Jose Garcia Beltran,Mechanism study of the thiol-addition reaction to benzothiazole derivative for sensing endogenous thiols,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, JOSE SANTOS, PEDRO DE LA TORRE, PAULINA PAVEZ, NATALIA MENA, MARCO NUNEZ, MARGARITA ALIAGA",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.tetlet.2015.03.083, 0040-4039,Tetrahedron Letters,2015, 56, , 2437, 2440,,,
Olimpo Jose Garcia Beltran,Host-guest interaction of coumarin-derivative dyes and cucurbit[7]uril: leading to the formation of supramolecular ternary complexes with mercuric ions,Artículo - Publicado en revista especializada,"MARGARITA ALIAGA, LUIS ALBERTO GARCIA RIOS, OLIMPO JOSE GARCIA BELTRAN",  Reino Unido, Royal Society of Chemistry, 10.1039/c5nj00162e, 1144-0546,New Journal of Chemistry,2015, 39, , 3084, 3092,,,
Olimpo Jose Garcia Beltran,Synthesis of coumarin derivatives as fluorescent probes for membrane and cell dynamics studies,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, ANTONIO GALDAMEZ, BRUCE CASSELS NIVEN, JULIO CABALLERO, MARCO NUNEZ, NATALIA MENA, OSVALDO YANEZ",  Colombia, Elsevier Bv, 10.1016/j.ejmech.2014.02.016, 0223-5234,European Journal of Medicinal Chemistry,2014, 76, N/A, 79, 86,,,
Olimpo Jose Garcia Beltran,Coumarins isolated from Esenbeckia alata (Rutaceae),Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, BRUCE CASSELS NIVEN, LUIS CUCA SUAREZ",  Colombia, Jai-Elsevier Ltd, 10.1016/j.bse.2013.12.011, 0305-1978,Biochemical Systematics and Ecology,2014, 52, N/A, 38, 40,,,
Olimpo Jose Garcia Beltran,A coumarinylaldoxime as a specific sensor for Cu2+ and its biological application,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, MARCO NUNEZ, OSVALDO YANEZ, JULIO CABALLERO, NATALIA MENA",  Colombia, Jai-Elsevier Ltd, 10.1016/j.tetlet.2013.12.033, 0040-4039,Tetrahedron Letters,2014, 55, N/A, 873, 876,,,
Olimpo Jose Garcia Beltran,Hydrogen-Bonded Supramolecular in Crystal Structure of Ethyl 7-Hydroxy-2-oxo-2H-Chromene-3-Carboxylate Monohydrate,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, ANTONIO ANTONIO GALDAMEZ",  Chile, Sociedad Chilena De Quimica,, 0717-9707,Journal of the Chilean Chemical Society,2011, 56, 1, 546, 548,,,
Olimpo Jose Garcia Beltran,A selective fluorescent probe for the detection of mercury (II) in aqueous media and its applications in living cells,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARGARITA ALIAGA, BRUCE CASSELS NIVEN, NATALIA MENA, MARCO NUNEZ, TANIA BERRIOS, ENRIQUE CASTRO",  Colombia, Jai-Elsevier Ltd, 10.1016/j.tetlet.2012.09.111, 0040-4039,Tetrahedron Letters,2012, 53, N/A, 6598, 6601,,,
Olimpo Jose Garcia Beltran,"Espectroscopia RMN como herramienta en la elucidación estructural de coumarinas 3(1¿,1¿-imetilalil) sustituidas aisladas de Esenbeckia alata (Karst & Triana) Tr. & Pl. (Rutaceae)",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, LUIS ENRIQUE CUCAC SUAREZ",  Colombia, Editorial Universidad de Antioquia,, 0304-3584,Actualidades Biológicas,2005, 27, , 71, 74,"Esenbeckia alata,",,
Olimpo Jose Garcia Beltran,Molecular Determinants for Competitive Inhibition of α4ß2 Nicotinic Acetylcholine Receptors,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, PATRICIO ITURRIAGA VASQUEZ, ANNALISA CARBONE, PHIL LIVINGSTONE, PHIL BIGGIN, BRUCE CASSELS NIVEN, SUSAN WONNACOTT, GERALD ZAPATA TORRES, ISABEL BERMUDEZ",  Argentina, American Society for Pharmacology and Experimental Therapeutics, 10.1124/mol.110.065490, 1521-0111,Molecular Pharmacology,2010, 78, 3, 366, 375,,,
Olimpo Jose Garcia Beltran,Nucleophilic reactivity of biothiols toward coumarin based derivatives containing a chalcone moiety,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARGARITA ALIAGA, BRUCE CASSELS NIVEN, NATALIA MENA, PAULINA PAVEZ, EDWIN PEREZ, CHRISTOPHER GONZALEZ, DANIELA MILLAN, JOSE SANTOS",  Colombia," John Wiley & Sons, Inc.", 10.1002/poc.2975, 0894-3230,Journal of Physical Organic Chemistry,2012, 25, N/A, 946, 952,,,
Olimpo Jose Garcia Beltran,"The Development of a Fluorescence Turn-on Sensor for Cysteine, Glutathione and Other Biothiols. A Kinetic Study",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, NATALIA MENA, EDWIN PEREZ, MARCO NUNEZ, FRANCISCA WERLINGER, DANIEL ZAVALA ZAVALA, MARGARITA ALIAGA, PAULINA PAVEZ",  Colombia, Jai-Elsevier Ltd, 10.1016/j.tetlet.2011.09.137, 0040-4039,Tetrahedron Letters,2011, 52, N/A, 6606, 6609,,,
Olimpo Jose Garcia Beltran,Structural reassignment of Epierythratidine based on NMR studies and computational methods,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, PATRICIO ITURRIAGA VASQUEZ, BRUCE CASSELS NIVEN, JORGE SOTO DELGADO, CARLOS ARECHE",  Colombia, Sociedad Chilena De Quimica,, 0717-9707,Journal of the Chilean Chemical Society,2012, 57, 3, 1323, 1327,,,
Olimpo Jose Garcia Beltran,Design and synthesis of a new coumarin-based ¿turn-on¿ fluorescent probe selective for Cu+2,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARCO NUNEZ, NATALIA MENA, BRUCE CASSELS NIVEN, LEIDI FRIEDRICH, JOSE NETTO FERREIRA, VICTOR VARGAS, FRANK QUINA",  Colombia, Jai-Elsevier Ltd, 10.1016/j.tetlet.2012.07.082, 0040-4039,Tetrahedron Letters,2012, 53, N/A, 5280, 5283,,,
Olimpo Jose Garcia Beltran,"Design, synthesis and cellular dynamics studies in membranes of a new coumarin-based turn-off fluorescent probe selective for Fe2+",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, NATALIA MENA, VICTOR VARGAS, MARCO NUNEZ, OSVALDO YANEZ, JULIO CABALLERO",  Colombia, Elsevier Bv, 10.1016/j.ejmech.2013.06.022, 0223-5234,European Journal of Medicinal Chemistry,2013, 67, N/A, 60, 63,,,
Olimpo Jose Garcia Beltran,Constituyentes no Polares de la fracción de Éter de Petróleo de Esenbeckia alata y Evaluación de Actividades Biológicas,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, LUIS ENRIQUE CUCAC SUAREZ",  Chile, Instituto  de Estudios Políticos y   Relaciones Internacionales  de la Universidad Nacional de Colombia,, 0120-2804,Revista Colombiana de Quimica,2003, 32, , 23, 28,"Rutaceae,",,
Olimpo Jose Garcia Beltran,(E)-2-(Benzo[d]thiazol-2-yl)-3-heteroarylacrylonitriles as efficientMichael acceptors for cysteine: Real application in biological imaging,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARGARITA ALIAGA, WILLIAM TIZNADO, PAULINA PAVEZ, PEDRO DE LA TORRE, LUIS ASTUDILLO, MARGARITA GUTIERREZ, JORGE TRILLERAS, PEDRO LUIS DE LA TORRE MARQUEZ, JORGE ENRIQUE TRILLERAS VASQUEZ",  Colombia, Elsevier Bv, 10.1016/j.snb.2013.12.001, 0925-4005,"Sensors and Actuators, B: Chemical",2014, 193, N/A, 391, 399,,,
Olimpo Jose Garcia Beltran,Coumarin-based fluorescent probes for dual recognition of Copper(II) and Iron(III) ions: Their application in bio-imaging,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, MARCO NUNEZ, NATALIA MENA, MARGARITA ALIAGA, PAULINA PAVEZ, NATALIA MARTINEZ, CLAUDIO PEREZ",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/s140101358, 1424-8220,Sensors,2014, 14, N/A, 1358, 1371,,,
Olimpo Jose Garcia Beltran,An unusual mulinane diterpenoid from the Chilean plant Azorella trifurcata (Gaertn) Pers,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, BEATRIZ SEPULVEDA, AURELIO SAN MARTIN, ALVARO CANETE, MARIO SIMIRGIOTIS",  Inglaterra, Royal Society of Chemistry, 10.1039/c4ob00966e, 1477-0520,Organic and Biomolecular Chemistry,2014, 12, , 6406, 6413,,,
Olimpo Jose Garcia Beltran,Substituent effects on reactivity of 3- cinnamoylcoumarins with thiols of biological interest,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARGARITA ALIAGA, BRUCE CASSELS NIVEN, MARCO NUNEZ, PAULINA PAVEZ, DANIELA MILLAN, EDWIN PEREZ, WILLIAM TIZNADO",  Inglaterra, Royal Society of Chemistry, 10.1039/c3ra44695f, 2046-2069,RSC Advances,2014, 4, N/A, 697, 704,,,
Olimpo Jose Garcia Beltran,"Crystal structure of (2R,13bS)¿2,6,8,9-tetrahydro-2,12-dimethoxy-1H-indolo[1-a]isoquinolin-11-ol, C18H21NO3 ¿erysodine",Artículo - Corto (Resumen),"OLIMPO JOSE GARCIA BELTRAN, BRUCE CASSELS NIVEN, MAIRI HADDOW",  Colombia, WALTER DE GRUYTER GMBH, 10.1524/ncrs.2009.0031, 1433-7266,Zeitschrift für Kristallographie - New Crystal Structures,2009, 224, N/A, 76, 78,,,
Olimpo Jose Garcia Beltran,Phylogenetic Studies and Metabolite Analysis of Sticta Species from Colombia and Chile by Ultra-High Performance Liquid Chromatography-High Resolution-Q-Orbitrap-Mass Spectrometry,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, ALFREDO JOSE TORRES BENITEZ, ELENA STASHENKO, MARIO SIMIRGIOTIS, BEATRIZ SEPULVEDA, CARLOS ARECHE",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/metabo12020156, 2218-1989,Metabolites,2022, 12, , 156, 156,"Metabolomics,",,
Olimpo Jose Garcia Beltran,Coumarin-Chalcone Hybrids as Inhibitors of MAO-B: Biological Activity and In Silico Studies,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, OSVALDO YANEZ, MARCO NUNEZ",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules26092430, 1420-3049,Molecules,2021, 26, , 2430, 2430,"neurodegenerative diseases,",,
Olimpo Jose Garcia Beltran,Erythrinoid and indol alkaloids isolated from the seeds of Erythrina rubrinervia Kunth: Chemotaxonomic significance.,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, MARIO SIMIRGIOTIS, MARCIAL ANTONIO FUENTES ESTRADA, ALFREDO JOSE TORRES BENITEZ",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.bse.2021.104295, 0305-1978,Biochemical Systematics and Ecology,2021, 97, , 104295, 104295,"Chemotaxonomyc,",,
Olimpo Jose Garcia Beltran,Theobroma cacao L. compounds: Theoretical study and molecular modeling as inhibitors of main SARS-CoV-2 protease,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, WILLIAM TIZNADO, OSVALDO YANEZ",  Francia, Elsevier Masson, 10.1016/j.biopha.2021.111764, 0753-3322,Biomedicine and Pharmacotherapy,2021, 140, , 111764, 111764,"DFT,",,
Olimpo Jose Garcia Beltran,Metabolomic Analysis of Two Parmotrema Lichens: P. robustum (Degel.) Hale and P. andinum (Mull. Arg.) Hale Using UHPLC-ESI-OT-MS-MS,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules22111861, 1420-3049,Molecules,2017, 22, , 1861, 1872,,,
Olimpo Jose Garcia Beltran,Adsorptive Stripping Voltammetric Determination of Morin in Tea Infusions and Chocolate Drinks on a Gold Electrode. Effect of Cetylpyridinium Bromide on the Sensitivity of the Method,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, JOHN JADY HURTADO BELALCAZAR, EDGAR ORLANDO NAGLES VIDAL",  Serbia, Fundacao Cesgranrio, 10.20964/2017.10.07, 1452-3981,International Journal of Electrochemical Science,2017, 12, , 9408, 9417,"Morin,",,
Olimpo Jose Garcia Beltran,Adsorptive Stripping Voltammetric Determination of Amaranth and Tartrazine in Drinks and Gelatins Using a Screen-Printed Carbon Electrode,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/s17112665, 1424-8220,Sensors,2017, 17, , 2665, 2674,,,
