Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,Libro,DOI,ISBN,Año,Volumen,Página inicial,Página final,Palabras,Area,Sectores
NATURATU,"Phyllostomid bats as a model to test zoogeographic units in Ecuador: insights for biogeography, conservation, and management.0", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Estados Unidos, Museum of Texas Tech University, From Field to Laboratory: A Memorial Volume in Honor of Robert J. Baker,, 1-929330-37-5, 2019,. ,309 , 331,,,
NATURATU,"Ecología poblacional del caimán aguja (Crocodylus acutus Cuvier, 1807) en el Parque Nacional Natural Tayrona, Caribe colombiano", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Colombia, Empresa Editorial Universidad Nacional De Colombia, Homenaje a Federico Medem,, 978-958-783-693-6, 2018,. ,49 , 59,,,
NATURATU,Briófitos y líquenes, Capítulo de libro ," ALFREDO JOSE TORRES BENITEZ, SANTIAGO NICOLAS ZARATE ARIAS, JUAN CAMILO GOMEZ, ANA MARIA CALDERON",Colombia, Editorial Universidad De Ibague Coruniversitaria, MARIPOSARIO DEL TOLIMA Laboratorio de Biodiversidad Urbana,, 978-958-754-311-7, 2018,. ,53 , 59,,,
NATURATU,"Cómo lograr coexistencia entre cocodrilos y humanos? relaciones etnozoológicas entre el caimán aguja y las comunidades humanas en el Parque Nacional Natural Tayrona, Caribe colombiano.", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Colombia, Empresa Editorial Universidad Nacional De Colombia, Homenaje a Federico Medem,, 978-958-783-693-6, 2018,. ,89 , 98,,,
NATURATU,Optimizing the Biogas production of an anaerobic reactor throughout Model Predictive Control, Otro capítulo de libro publicado ," JAIRO ANDRES HERNANDEZ NARANJO, MAXIMILIANO MACHADO HIGUERA",Ecuador, EPN Editorial | Ingeniería Electrónica y Eléctrica, PROCEEDiNGS OF THE XViii LATiN AMERiCAN CONFERENCE iN AUTOMATiC CONTROL,, 978-9942-35-525-6, 2018,. ,31 , 32,,,
NATURATU,Violencia extractivista y el reto de la reconciliación con la naturaleza en el posacuerdo, Capítulo de libro , RICHARD CLAYTON DOUGHMAN III,Colombia, Universidad del Rosario, Los olvidados de la paz,, 9789587840940, 2018,. ,200 , ,,,
NATURATU,Dating Mountain Building: Exhumation and Surface Uplift, Capítulo de libro ," MATTHIAS BERNET, VERONICA TORRES ACOSTA, MAURICIO ALBERTO BERMUDEZ CELLA",Estados Unidos, John Wiley & Sons Ltd, Mountains,, 978-1-119-15987-2, 2018,. ,69 , 80,,,
NATURATU,Dating Mountain Building: Exhumation and Surface Uplift, Otro capítulo de libro publicado ," MAURICIO ALBERTO BERMUDEZ CELLA, MATTHIAS BERNET, VERONICA TORRES ACOSTA",Estados Unidos, Wiley-Blackwell, Mountains,, 978-1-119-15987-2, 2018,. ,69 , 80,,,
NATURATU,Guia para elaborar un ensayo académico, Otro capítulo de libro publicado ," RICHARD CLAYTON DOUGHMAN III, MARTHA ELIZABETH FAJARDO VALBUENA",Colombia, Editorial Universidad De Ibague Coruniversitaria, Guías para la producción de textos académicos,, 2216-0302, 2018,. ,28 , 31,,,
NATURATU,Crax alberti, Capítulo de libro ," JOSE MANUEL OCHOA QUINTERO, ISABEL MELO VASQUEZ, MIGUEL CESAR MORENO PALACIOS",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,96 , 102,,,
NATURATU,Antocephala berlepschi, Capítulo de libro ," ALEJANDRO RICO GUEVARA, ANDREA MORALES ROZO, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,200 , 203,,,
NATURATU,Antocephala floriceps, Capítulo de libro ," ANDREA MORALES ROZO, ALEJANDRO RICO GUEVARA, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,196 , 198,,,
NATURATU,Optic Method to Determine the Organic Matter Level on Water Using Phthalate Potassium, Capítulo de libro , LUZ PATRICIA NARANJO RIANO,Estados Unidos, OSA Publishing, Latin America Optics and Photonics Conference © OSA 2016,, 978-194358016-3, 2016,. ,1 , 3,,,
NATURATU,Enhanced blue photoluminescence of B2O3-CaF2 glass-ceramics containing silver nanoparticles LTu3A.5, Capítulo de libro , LUZ PATRICIA NARANJO RIANO,Estados Unidos, OSA Publishing, Latin America Optics and Photonics Conference © OSA 2016,, 978-194358016-3, 2016,. ,1 , 3,,,
NATURATU,Nutria: Fauna vertebrada de la Central Hidroeléctrica Miel I, Capítulo de libro ," GIOVANY GUEVARA CARDONA, LIDA MARCELA FRANCO PEREZ",Colombia, Publicaciones Universidad de Caldas,  Fauna vertebrada de la Central Hidroeléctrica Miel I,, 9789584682956, 2016,. ,95 , 104,,,
NATURATU,Revisión de Estudios Termocronológicos por Trazas de Fisión en Apatitos a lo Largo de Los Andes de Venezuela y su Relación con el Contexto Geodinámico Caribe, Otro capítulo de libro publicado , MAURICIO ALBERTO BERMUDEZ CELLA,Venezuela, Revista de la Facultad de Ingeniería, El Límite Noreste De La Placa Suramericana: Estructuras Litosféricas De La Superficie Al Manto,, 978-980-00-2800-1, 2015,. ,305 , 321,,,
NATURATU,Conectando la Universidad con la Biósfera, Otro capítulo de libro publicado ," MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 194,,,
NATURATU,Conectando la Universidad con la Biósfera, Otro capítulo de libro publicado ," MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 194,,,
NATURATU,Cattleya trianae Classification and Varieties by Colorimetry, Capítulo de libro ," MANUEL GUILLERMO FORERO VARGAS, CARLOS EDUARDO BELTRAN REYES",Colombia, IEEE Publications, 2015 20th SYMPOSIUM ON SIGNAL PROCESSING,, 978-1-4673-9460-4, 2015,. ,384 , 388,,,
NATURATU,"Erythrina Alkaloids: Recent Advances in Their Synthesis, Isolation and Pharmacology", Capítulo de libro ," OLIMPO JOSE GARCIA BELTRAN, MIGUEL CESAR MORENO PALACIOS",Estados Unidos, NOVA Publisher, Alkaloids; Biosynthesis,, 978-1-63482-075-2, 2015,. ,107 , 130,,,
NATURATU,Naturaleza Inadvertida Conectando la Universidad con la Biosfera, Capítulo de libro , BLANCA MYRIAM SALGUERO LONDONO,Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 191,,,
NATURATU,"Erythrina alkaloids. Recent advances in their synthesis, isolation and pharmacology", Capítulo de libro ," OLIMPO JOSE GARCIA BELTRAN, MIGUEL CESAR MORENO PALACIOS",Estados Unidos, Nova Science Publishers, Alkaloids; Biosynthesis,, 978-1-63482-075-2, 2015,. ,107 , 129,,,
NATURATU,Creurgops verticalis, Capítulo de libro ," EDUARDO GALLO CAJIAO, MIGUEL CESAR MORENO PALACIOS",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,288 , 290,,,
NATURATU,Xenopipo flavicapilla, Capítulo de libro , MIGUEL CESAR MORENO PALACIOS,Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,272 , 274,,,
NATURATU,Leptotila conoveri, Capítulo de libro ," ANGELICA CARVAJAL RUEDA, MIGUEL CESAR MORENO PALACIOS, SERGIO LOSADA PRADO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,113 , 116,,,
NATURATU,Efecto de la orientación cristalina del SrTiO3 sobre las propiedades dieléctricas, Capítulo de libro ," ALEXANDER CORTES SOTO, WILSON LOPERA MUNOZ, PEDRO ANTONIO PRIETO PULIDO",España, Society for Nanomolecular Photovoltaics (SEFIN), Nanotecnología para Energías en Latinoamérica,, 978-84-940189-9-2, 2012,. ,70 , 70,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,EL TERCER ACUERDO: COMPRENSIÓN DE SU SENTIDO COLECTIVO, Otro capítulo de libro publicado , DANIEL LOPERA MOLANO,Colombia, Ediciones Unibague, Una mirada a las relaciones con el entorno. Responsabilidad Social Integral en la Universidad de Ibagué,, 978-958-754-396-4, 2022,. ,163 , 180,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,La feria comunicativa: barrial y radial, Otro capítulo de libro publicado ," CARLOS MAURICIO SANTANA SAENZ, ANGELA MARIA LOPERA MOLANO",Colombia, Ediciones Unibagué, UNA MIRADA A LAS RELACIONES CON EL ENTORNO RESPONSABILIDAD SOCIAL INTEGRAL EN LA UNIVERSIDAD DE IBAGUÉ,, 	978-958-754-396-4, 2022,. ,123 , 148,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Percepciones de afrontamiento de la enfermedad en pacientes desde la perspectiva del personal médico en servicios de hospitalización en piso y la unidad de cuidados intensivos de una clínica en Ibagué-Colombia, Otro capítulo de libro publicado , JULIO EDUARDO MAZORCO SALAS,Argentina, Editorial de la Universidad Nacional de Jujuy, RELATOS DE EXPERIENCIAS Y RESULTADOS DE INVESTIGACIÓN: Jornada de Intercambio de Experiencias en Promoción y Educación para la Salud. ,, 978-987-48216-1-4-, 2022,. ,276 , 293,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Design Education as an Action-Research Project on Ontological Design: Educating Transition Designers, Capítulo de libro ," HERNAN LOPEZ GARAY, DANIEL LOPERA MOLANO",Suiza,., World Organization of Systems and Cybernetics 18. Congress-WOSC2021. WOSC 2021. Lecture Notes in Networks and Systems,, 978-3-031-08194-1, 2022,. ,207 , 218,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Design Education as an Action-Research Project on Ontological Design: Educating Transition Designers, Capítulo de libro , HERNAN LOPEZ GARAY,Suiza,., World Organization of Systems and Cybernetics Congress,, 978-3-031-08195-8, 2022,. ,1 , 12,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Defining and Prioritizing Indicators to Assess the Sustainability of Mobility Systems in Emerging Cities, Capítulo de libro ," JUAN CAMILO MEDINA ARGUELLO, EDGAR RAMIRO JIMENEZ PEREZ",,., Advances in Mobility-as-a-Service Systems,, 978-3-030-61075-3, 2021,. ,616 , 625,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,AMBIENTE DE APRENDIZAJE CONTEXTO Y REGIÓN: UNA EDUCACIÓN SISTÉMICA PARA LA INNOVACIÓN SOCIAL Y EL DESARROLLO REGIONAL, Otro capítulo de libro publicado ," CAROL GISET PENA PALMA, JULIO EDUARDO MAZORCO SALAS, MARIA ISABEL CASTILLO BOHORQUEZ, SERGIO ANTONIO MONROY ISAZA",Canadá, Fundación Organización Universitaria Interamericana, Modelos Educativos Innovadores en Educación Superior / Fundación Organización Universitaria Interamericana,, 2744-9394, 2020,. ,374 , 384,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Raúl Darío Bejarano Jiménez, Otro capítulo de libro publicado ," ANGELA MARIA LOPERA MOLANO, CARLOS MAURICIO SANTANA SAENZ",Colombia, Ediciones Unibagué, Tolimenses que dejan huella,, 24629200, 2020,. ,65 , 103,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Desarrollo de un proceso formativo de profesores-investigadores orientado desde el pensamiento sistémico-complejo y la transdisciplinariedad, Otro capítulo de libro publicado ," MARIA ISABEL CASTILLO BOHORQUEZ, JULIO EDUARDO MAZORCO SALAS, ANDRES FELIPE ASTAIZA MARTINEZ",Colombia, Instituto Antioqueño de Investigación,  Revolución en la Formación y la Capacitación para el Siglo XXI,, 978-958-52333-7-9, 2020,. ,388 , 396,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Defining and Prioritizing Indicators to Assess the Sustainability of Mobility Systems in Emerging Cities, Capítulo de libro , EDGAR RAMIRO JIMENEZ PEREZ,Grecia,.,  Advances in Mobility-as-a-Service Systems,, 978-3-030-61075-3, 2020,. ,616 , 625,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Desarrollo de un proceso formativo de profesores-investigadores orientado desde el pensamiento sistémico-complejo y la transdisciplinariedad, Otro capítulo de libro publicado ," MARIA ISABEL CASTILLO BOHORQUEZ, JULIO EDUARDO MAZORCO SALAS, ANDRES FELIPE ASTAIZA MARTINEZ",Colombia, Editorial Instituto Antioqueño de Investigación, 	Revolución en la Formación y la Capacitación para el Siglo XXI Vol. I,, 978-958-52333-7-9, 2020,volución en la Formación y la Capacitación para el Siglo XXI Vol. I,388 , 396,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Sistematización e implementación de una estrategia de apropiación de CTeI para promover el pensamiento crítico en los estudiantes, Otro capítulo de libro publicado ," ROBINSON RUIZ LOZANO, JULIO EDUARDO MAZORCO SALAS, LAURA YAMILE HENAO MORALES",Colombia, Instituto Antioqueño de Investigación,  Revolución en la Formación y la Capacitación para el Siglo XXI,, 978-958-52333-7-9, 2020,. ,112 , 123,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Expanding Epistemic Capability in Participatory Decision-Making Processes: The Universidad de Ibagué Capabilities List, Capítulo de libro , DIANA CAROLINA VELASCO MALAVER,Colombia, Palgrave Macmillan, Participatory Research,, 978-3-030-56197-0, 2020,. ,27 , 57,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Educación Popular Ambiental para el fortalecimiento del desarrollo de capacidades humanas en la Vereda El Neme, Otro capítulo de libro publicado ," CAROL GISET PENA PALMA, MARLY VIVIANA TAFUR OSORIO, JOSE ENRIQUE TERAN SERNA, ANGEL DAVID GIL TORRES, JULIO EDUARDO MAZORCO SALAS",España, Universidad Politécnica de Valencia, 16 caminos hacia la transformación. Explorando la relación universidad y sociedad y su contribución al bienestar desde la red CYTED Multibien,, 2172-0312, 2020,. ,75 , 80,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseñar paz: una experiencia de Aprendizaje Servicio, Otro capítulo de libro publicado , DANIEL LOPERA MOLANO,Argentina, CLAYSS, V Jornada de Investigadores sobre Aprendizaje Servicio,, 978-987-4487-14-8, 2019,. ,231 , 238,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Aprendizaje Servicio desde dinámicas particulares del campo colombiano, Otro capítulo de libro publicado , DANIEL LOPERA MOLANO,Argentina, CLAYSS, V Jornada de Investigadores sobre Aprendizaje Servicio,, 978-987-4487-14-8, 2019,. ,239 , 244,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Lo saludable del diseñar para diseñar (diseño de ambientes saludables en entornos universitarios), Otro capítulo de libro publicado ," DANIEL LOPERA MOLANO, MARIA DEL MAR NUNEZ GANAN",Colombia, Editorial Universidad Pontificia Bolivariana, Creación y Debate,, 978-958-764-758-7, 2019,. ,115 , 130,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Edu-care: Towards an Ethos of Holistic Care, Otro capítulo de libro publicado , HERNAN LOPEZ GARAY,Inglaterra, ROUTLEDGE, Cybernetics and Systems: Social and Business Decisions,, 9780367663247, 2018,. ,159 , 187,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Ciencia con conciencia: Apagando el piloto automático y activando el piloto intencional en la cultura investigativa en América Latina, Capítulo de libro , EDGAR RAMIRO JIMENEZ PEREZ,Escocia,opean Commission Funded Project, Research strategy,, 9781905866915, 2018,. ,145 , 151,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Ciencia con conciencia: Apagando el piloto automático y activando el piloto intencional en la cultura investigativa en América Latina, Otro capítulo de libro publicado ," IVAN DARIO HERNANDEZ UMANA, OSWALDO LOPEZ SANTOS, JULIO EDUARDO MAZORCO SALAS, EDGAR RAMIRO JIMENEZ PEREZ, EYDE FRANK SANCHEZ",Escocia,opean Commission Funded Project, Research strategy,, 9781905866915, 2018,. ,145 , 161,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Universidades promotoras de la salud, un enfoque crítico-sistémico", Capítulo de libro , REYNEL FELIPE GOMEZ ROMERO,Colombia, Ediciones Universidad Industrial De Santander, La salud en la vida cotidiana,, 978-958-8819-64-8, 2018,. ,101 , 109,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Expediciones Emancipatorias entre la Salud y el Diseño, Otro capítulo de libro publicado ," MARIA DEL MAR NUNEZ GANAN, DANIEL LOPERA MOLANO",Colombia, Publicaciones Universidad de Caldas, Diseño y Creación,, 978-958-759-161-3, 2018,. ,301 , 308,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Dinámicas de acción y tensión en la intevención del espacio público a través del lenguaje del grafiti en la ciudad de Ibagué, Otro capítulo de libro publicado , ANGELA MARIA LOPERA MOLANO,México, Universidad Autónoma de Tlaxcala, Desde la literacidad académica: perspectivas,, 9786078432806, 2017,. ,182 , 199,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Arte urbano y comunicación social. La expresión urbana grafiti como fenómeno de comunicación estética, Otro capítulo de libro publicado ," ANGELA MARIA LOPERA MOLANO, PATRICIA COBA GUTIERREZ",Colombia, Afacom, Arte y comunicación. Un reto de reflexión en América Latina desde la perspectiva regional,, 9789585976009, 2016,. ,115 , 138,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,El imaginador: cuerpo y video. La novela El don de Juan de Rodrigo Parra Sandoval, Otro capítulo de libro publicado , ANGELA MARIA LOPERA MOLANO,Colombia, Ediciones Unibagué, Cuerpos imaginados,, 978-958-754-220-2, 2016,. ,87 , 119,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,La movilidad en una ciudad para la gente, Otro capítulo de libro publicado , EDGAR RAMIRO JIMENEZ PEREZ,Colombia, Ediciones Unibagué, Cátedra fundadores 2015: Universidad de Ibagué,, 25264918, 2016,. ,199 , 210,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Intervención del espacio público a través del grafiti en la ciudad de Ibagué, Otro capítulo de libro publicado ," PATRICIA COBA GUTIERREZ, ANGELA MARIA LOPERA MOLANO",Colombia, Ediciones Unibagué, Investigación social y políticas públicas,, 9789587541557, 2015,. ,83 , 111,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Servicio de Recuperación de Residuos Sólidos Reciblables., Capítulo de libro , VICTORIA ANDREA ORTEGON LEON,Colombia, Ediciones Unibagué, Investigación Social y políticas Públicas,, 12345654674, 2015,. ,171 , 211,,,
